;video_id;title;channel_title;category_id;publish_time;thumbnail_link;video_error_or_removed;description
1113;RzBsBm2Vzw0;TOP 10: Entries from Spain at the Eurovision Song Contest;Eurovision Song Contest;24;2018-01-28T16:00:02Z;https://i.ytimg.com/vi/RzBsBm2Vzw0/default.jpg;False;Spain had their Eurovision debut in 1961 but had their most successful times in the late 60s and early 70s. After winning twice in a row (in 1968 and in 1969, ...
1114;BhGvdT1n0Lc;"Marvel Studios&#39; Thor: Ragnarok -- Grandmaster and Topaz (Bonus Extended Scene)";Marvel Entertainment;24;2018-02-15T20:03:14Z;https://i.ytimg.com/vi/BhGvdT1n0Lc/default.jpg;False;"You can see more bonus features when you bring home ""Thor: Ragnarok"" on Digital in HD and 4K Ultra HD™ and Movies Anywhere on February 20 and 4K ..."
1115;27ykcO79F-Y;VENOM - International Teaser Trailer;Sony Pictures Entertainment;24;2018-02-08T14:00:00Z;https://i.ytimg.com/vi/27ykcO79F-Y/default.jpg;False;Watch the new #Venom teaser trailer now. Only in Cinemas. One of Marvel's most enigmatic, complex and badass characters comes to the big screen, starring ...
1116;7JGKtErJ8f4;Black Panther - Ryan Coogler Surprises Students at Ghetto Film School Fellows Program;Marvel Entertainment;24;2018-02-15T15:30:06Z;https://i.ytimg.com/vi/7JGKtErJ8f4/default.jpg;False;Marvel Studios announced that Synchrony Bank, a promotional partner on Marvel Studios' “Black Panther,” is donating a $50000 grant to the Ghetto Film School ...
1117;QZctNLyuMbM;Thor: Ragnarok director Taika Waititi on This Week in Marvel;Marvel Entertainment;24;2018-02-20T20:00:01Z;https://i.ytimg.com/vi/QZctNLyuMbM/default.jpg;False;"Ryan Penagos AKA Agent M sits down with director Taika Waititi to answer fan questions about ""Thor: Ragnarok"" in this special video installment of This Week in ..."
1118;ZI_yHXB5Ork;"Skin (Rag&#39;N&#39;Bone Man) | Simon Morin|The Voice France 2018 |Blind Audition";The Voice : la plus belle voix;24;2018-02-21T17:00:04Z;https://i.ytimg.com/vi/ZI_yHXB5Ork/default.jpg;False;"Pour son Audition à l'aveugle, Simon Morin a choisi un titre de Skin : ""Rag'N'Bone Man"". Un choix payant puisqu'il fera se retourner Florent Pagny et Mika."
1119;r9Dh46PLjOY;VENOM - Tom Hardy Live from the Set;Sony Pictures Entertainment;24;2018-01-11T17:00:29Z;https://i.ytimg.com/vi/r9Dh46PLjOY/default.jpg;False;Tom Hardy & Director Ruben Fleischer welcome you to the set of #VENOM In Theaters October 5. Follow us On Social: https://www.facebook.com/VenomMovie/ ...
1120;ntGhMoXzry4;Orelsan - San / Victoires de la Musique 2018;Les Victoires de la Musique;24;2018-02-09T23:44:25Z;https://i.ytimg.com/vi/ntGhMoXzry4/default.jpg;False;Orelsan est Lauréat dans les catégories Artiste masculin, Album de musiques urbaines & Création audiovisuelle. Suivez les Victoires de la Musique 2018 Sur ...
1121;M-pVKDsysC4;| The Voice 2018 | Blind Audition;The Voice : la plus belle voix;24;2018-01-30T08:39:27Z;https://i.ytimg.com/vi/M-pVKDsysC4/default.jpg;False;Toutes les prestations de la Saison 7 : http://bit.ly/TheVoice_VoixNouvelleSaison Découvrez les covers exclusives des talents ...
1122;yltdDq0xgmg;Marvel’s Cloak and Dagger – Promo Spot;Marvel Entertainment;24;2018-02-28T21:00:04Z;https://i.ytimg.com/vi/yltdDq0xgmg/default.jpg;False;Two paths. One destiny. Marvel's Cloak & Dagger is coming to Freeform June 7. ▻ Subscribe to Marvel: http://bit.ly/WeO3YJ Follow Marvel on Twitter: ...
1123;G5pGK7xHns8;"Skin (Rag&#39;N&#39;Bone Man) | Simon Morin|The Voice France 2018 |Blind Audition";The Voice : la plus belle voix;24;2018-02-17T20:37:33Z;https://i.ytimg.com/vi/G5pGK7xHns8/default.jpg;False;"Pour son Audition à l'aveugle, Simon Morin a choisi un titre de Skin : ""Rag'N'Bone Man"". Un choix payant puisqu'il fera se retourner Florent Pagny et Mika."
1124;3haKMuI2S3Q;"Юрий Ткач – &quot;Я і Сара&quot; – выбор вслепую – Голос страны 8 сезон";Голос країни;24;2018-02-18T19:55:53Z;https://i.ytimg.com/vi/3haKMuI2S3Q/default.jpg;False;"Юрий Ткач исполнил песню ""Я і Сара"" DZIDZIO на слепых прослушиваниях в 4 выпуске 8 сезона Голоса страны. Смотреть онлайн Голос страны 8 сезон ..."
1125;vG8nJ6AvoR4;"The King Arrives --  Chadwick Boseman at Marvel Studios&#39; Black Panther World Premiere Red Carpet";Marvel Entertainment;24;2018-01-30T17:00:05Z;https://i.ytimg.com/vi/vG8nJ6AvoR4/default.jpg;False;"Get tickets to see ""Black Panther"" now: www.fandango.com/blackpanther ▻ Subscribe to Marvel: http://bit.ly/WeO3YJ Follow Marvel on Twitter: ..."
1126;986TTfv7BwI;DJ Khaled ft. Rihanna - Wild Thoughts | Karolyn | The Voice France 2018 | Blind Audition;The Voice : la plus belle voix;24;2018-02-14T17:00:01Z;https://i.ytimg.com/vi/986TTfv7BwI/default.jpg;False;"Pour son Audition à l'aveugle, Karolyn a choisi un titre de DJ Khaled ft. Rihanna : ""Wild Thoughts"". La prestation de Karolyn a fait se retourner Zazie et Florent ..."
1127;gDcUpCNi5vc;Can you predict the winner of the Eurovision Song Contest?;Eurovision Song Contest;24;2018-01-26T16:00:02Z;https://i.ytimg.com/vi/gDcUpCNi5vc/default.jpg;False;Over the course of the next two months all 43 songs for the upcoming Eurovision Song Contest will be selected. From the moment a song is chosen for a country, ...
