;number;id;count;thumbnail_path;error;status;colors
0;74;-oCQn2VkStI;7;['images\\maxresdefault\\74_US_-oCQn2VkStI_0.jpg'];[False];[200];[([(128, 128, 128), 'Gray'], 11426.0), ([(0, 0, 0), 'Black'], 3146.0), ([(192, 192, 192), 'Silver'], 2887.0), ([(255, 0, 0), 'Red'], 1391.0), ([(0, 0, 128), 'Navy'], 1033.0)]
0;75;-oOlAGKBXnA;7;['images\\maxresdefault\\75_US_-oOlAGKBXnA_0.jpg'];[False];[200];[([(128, 128, 128), 'Gray'], 11394.0), ([(0, 0, 0), 'Black'], 4891.0), ([(128, 0, 0), 'Maroon'], 1682.0), ([(128, 0, 128), 'Purple'], 1387.0), ([(255, 255, 0), 'Yellow'], 590.0)]
0;76;-oXybog2IuI;6;['images\\maxresdefault\\76_US_-oXybog2IuI_0.jpg'];[False];[200];[([(128, 128, 128), 'Gray'], 10586.0), ([(0, 128, 128), 'Teal'], 6282.0), ([(255, 255, 255), 'White'], 2858.0), ([(0, 0, 0), 'Black'], 547.0), ([(192, 192, 192), 'Silver'], 355.0)]
0;77;-p-PToD2URA;11;['images\\maxresdefault\\77_US_-p-PToD2URA_0.jpg'];[False];[200];[([(0, 0, 0), 'Black'], 17694.0), ([(0, 0, 128), 'Navy'], 1205.0), ([(255, 255, 255), 'White'], 984.0), ([(192, 192, 192), 'Silver'], 381.0), ([(128, 128, 128), 'Gray'], 335.0)]
0;78;-p2lhxUqMMQ;6;['images\\maxresdefault\\78_US_-p2lhxUqMMQ_0.jpg'];[False];[200];[([(128, 128, 0), 'Olive'], 5790.0), ([(192, 192, 192), 'Silver'], 5140.0), ([(0, 0, 0), 'Black'], 3991.0), ([(128, 0, 0), 'Maroon'], 2407.0), ([(128, 128, 128), 'Gray'], 2122.0)]
0;79;-pCzLbCCppo;5;['images\\maxresdefault\\79_US_-pCzLbCCppo_0.jpg'];[False];[200];[([(128, 128, 128), 'Gray'], 6739.0), ([(192, 192, 192), 'Silver'], 5554.0), ([(255, 255, 255), 'White'], 3719.0), ([(0, 0, 0), 'Black'], 3021.0), ([(128, 0, 0), 'Maroon'], 738.0)]
0;80;-ppaazmNIgA;5;['images\\maxresdefault\\80_US_-ppaazmNIgA_0.jpg'];[False];[200];[([(0, 0, 0), 'Black'], 8994.0), ([(128, 128, 128), 'Gray'], 5477.0), ([(192, 192, 192), 'Silver'], 4321.0), ([(255, 255, 255), 'White'], 740.0), ([(128, 0, 0), 'Maroon'], 341.0)]
0;81;-py2awmME8s;2;['images\\maxresdefault\\81_US_-py2awmME8s_0.jpg'];[False];[200];[([(0, 0, 0), 'Black'], 14538.0), ([(128, 128, 128), 'Gray'], 2432.0), ([(192, 192, 192), 'Silver'], 1736.0), ([(128, 0, 0), 'Maroon'], 1312.0), ([(128, 128, 0), 'Olive'], 648.0)]
0;82;-rZkKvRZ0UE;5;['images\\maxresdefault\\82_US_-rZkKvRZ0UE_0.jpg'];[False];[200];[([(128, 128, 128), 'Gray'], 6366.0), ([(0, 0, 0), 'Black'], 6265.0), ([(192, 192, 192), 'Silver'], 4800.0), ([(128, 0, 0), 'Maroon'], 1448.0), ([(128, 128, 0), 'Olive'], 715.0)]
0;83;-s3j-ptJD10;12;['images\\maxresdefault\\83_US_-s3j-ptJD10_0.jpg'];[False];[200];[([(192, 192, 192), 'Silver'], 6708.0), ([(255, 255, 255), 'White'], 6154.0), ([(0, 0, 0), 'Black'], 3228.0), ([(128, 128, 128), 'Gray'], 3051.0), ([(0, 128, 128), 'Teal'], 924.0)]
